nameOfIssuer	titleOfClass	cusip	value	sshPrnamt	sshPrnamtType	investmentDiscretion	Sole	Shared	None
GILEAD SCIENCES INC	COM	375558103	53367	707879	SH	SOLE	NONE	707879	0	0
HESS CORP	COM	42809H107	3027	59800	SH	SOLE	NONE	59800	0	0
HIMAX TECHNOLOGIES INC	SPONSORED ADR	43289P106	7118	1155500	SH	SOLE	NONE	1155500	0	0
HOME DEPOT INC	COM	437076102	78293	439255	SH	SOLE	NONE	439255	0	0
HONEYWELL INTL INC	COM	438516106	65090	450417	SH	SOLE	NONE	450417	0	0
ICICI BK LTD	ADR	45104G104	12042	1360674	SH	SOLE	NONE	1360674	0	0
INGERSOLL-RAND PLC	SHS	G47791101	44021	514800	SH	SOLE	NONE	514800	0	0
INTEL CORP	COM	458140100	57263	1099516	SH	SOLE	NONE	1099516	0	0
INTERNATIONAL BUSINESS MACHS	COM	459200101	27015	176075	SH	SOLE	NONE	176075	0	0
INVESCO LTD	SHS	G491BT108	13307	415700	SH	SOLE	NONE	415700	0	0
ISHARES TR	IBOXX INV CP ETF	464287242	26800	228300	SH	SOLE	NONE	228300	0	0
ISHARES TR	20 YR TR BD ETF	464287432	208410	1709678	SH	SOLE	NONE	1709678	0	0
ISHARES TR	BARCLAYS 7-10 YR	464287440	2443	23680	SH	SOLE	NONE	23680	0	0
ISHARES TR	U.S. REAL ES ETF	464287739	29020	384529	SH	SOLE	NONE	384529	0	0
ISHARES TR	JP MOR EM MK ETF	464288281	119062	1055328	SH	SOLE	NONE	1055328	0	0
ISHARES TR	IBOXX HI YD ETF	464288513	13662	159529	SH	SOLE	NONE	159529	0	0
ISHARES TR	MSCI INDIA ETF	46429B598	9935	291100	SH	SOLE	NONE	291100	0	0
JD COM INC 	SPON ADR CL A	47215P106	12028	297050	SH	SOLE	NONE	297050	0	0
JOHNSON  JOHNSON	COM	478160104	100841	786900	SH	SOLE	NONE	786900	0	0
JPMORGAN CHASE  CO	COM	46625H100	132749	1207140	SH	SOLE	NONE	1207140	0	0
KENNEDY-WILSON HLDGS INC	COM	489398107	35517	2041188	SH	SOLE	NONE	2041188	0	0
KEYCORP NEW	COM	493267108	12242	626199	SH	SOLE	NONE	626199	0	0
KEYSIGHT TECHNOLOGIES INC	COM	49338L103	45974	877535	SH	SOLE	NONE	877535	0	0
KINDER MORGAN INC DEL	COM	49456B101	69424	4609803	SH	SOLE	NONE	4609803	0	0
KLA-TENCOR CORP	COM	482480100	20932	192021	SH	SOLE	NONE	192021	0	0
KRAFT HEINZ CO	COM	500754106	30272	485978	SH	SOLE	NONE	485978	0	0
LAM RESEARCH CORP	COM	512807108	28381	139700	SH	SOLE	NONE	139700	0	0
LAUDER ESTEE COS INC	CL A	518439104	45970	307039	SH	SOLE	NONE	307039	0	0
LENNAR CORP	CL A	526057104	26795	454610	SH	SOLE	NONE	454610	0	0
LOCKHEED MARTIN CORP	COM	539830109	1825	5400	SH	SOLE	NONE	5400	0	0
MADISON SQUARE GARDEN CO NEW	CL A	55825T103	337	1370	SH	SOLE	NONE	1370	0	0
MAGNA INTL INC	COM	559222401	29	523	SH	SOLE	NONE	523	0	0
MARTIN MARIETTA MATLS INC	COM	573284106	3110	15000	SH	SOLE	NONE	15000	0	0
MASCO CORP	COM	574599106	11440	282900	SH	SOLE	NONE	282900	0	0
MASTERCARD INC	CL A	57636Q104	19394	110722	SH	SOLE	NONE	110722	0	0
MERCK  CO INC NEW	COM	58933Y105	15762	289375	SH	SOLE	NONE	289375	0	0
MGM RESORTS INTERNATIONAL	COM	552953101	12	331	SH	SOLE	NONE	331	0	0
MICRON TECHNOLOGY INC	COM	595112103	248593	4767800	SH	SOLE	NONE	4767800	0	0
MICROSOFT CORP	COM	594918104	199643	2187394	SH	SOLE	NONE	2187394	0	0
MONDELEZ INTL INC	CL A	609207105	97620	2339315	SH	SOLE	NONE	2339315	0	0
MONGODB INC	CL A	60937P106	3255	75000	SH	SOLE	NONE	75000	0	0
MULESOFT INC	CL A	625207105	3318	75439	SH	SOLE	NONE	75439	0	0
NATIONAL OILWELL VARCO INC	COM	637071101	3	86	SH	SOLE	NONE	86	0	0
NEWELL RUBBERMAID INC	COM	651229106	40590	1593007	SH	SOLE	NONE	1593007	0	0
NEWMONT MINING CORP	COM	651639106	10059	257450	SH	SOLE	NONE	257450	0	0
NEWMONT MINING CORP	OPTIONS	651639906	14780	40528	SH	Call	SOLE	NONE	40528	0	0
NEXA RES S A	COM	L67359106	10382	592900	SH	SOLE	NONE	592900	0	0
NEXTERA ENERGY INC	COM	65339F101	144515	884801	SH	SOLE	NONE	884801	0	0
NIKE INC	CL B	654106103	76834	1156447	SH	SOLE	NONE	1156447	0	0
NOBLE ENERGY INC	COM	655044105	15538	512800	SH	SOLE	NONE	512800	0	0
NVIDIA CORP	COM	67066G104	7504	32400	SH	SOLE	NONE	32400	0	0
O REILLY AUTOMOTIVE INC NEW	COM	67103H107	17294	69909	SH	SOLE	NONE	69909	0	0
OM ASSET MGMT PLC	SHS	G67506108	1607	101936	SH	SOLE	NONE	101936	0	0
ORACLE CORP	COM	68389X105	25235	551575	SH	SOLE	NONE	551575	0	0
PAMPA ENERGIA S A	SPONS ADR LVL I	697660207	5841	98000	SH	SOLE	NONE	98000	0	0
PANDORA MEDIA INC	COM	698354107	1448	287958	SH	SOLE	NONE	287958	0	0
PARKER HANNIFIN CORP	COM	701094104	39	227	SH	SOLE	NONE	227	0	0
PARSLEY ENERGY INC 	CL A	701877102	3143	108400	SH	SOLE	NONE	108400	0	0
PATTERN ENERGY GROUP INC	CL A	70338P100	86356	4994575	SH	SOLE	NONE	4994575	0	0
PATTERSON UTI ENERGY INC	COM	703481101	38335	2189300	SH	SOLE	NONE	2189300	0	0
PENTAIR PLC	SHS	G7S00T104	6	87	SH	SOLE	NONE	87	0	0
PEPSICO INC	COM	713448108	11156	102206	SH	SOLE	NONE	102206	0	0
PFIZER INC	COM	717081103	141995	4000995	SH	SOLE	NONE	4000995	0	0
PIONEER NAT RES CO	COM	723787107	9688	56400	SH	SOLE	NONE	56400	0	0
PLAYA HOTELS  RESORTS NV	SHS	N70544106	1310	128200	SH	SOLE	NONE	128200	0	0
PNC FINL SVCS GROUP INC	COM	693475105	23201	153405	SH	SOLE	NONE	153405	0	0
PROCTER  GAMBLE CO	COM	742718109	69541	877162	SH	SOLE	NONE	877162	0	0
PROLOGIS INC	COM	74340W103	12581	199733	SH	SOLE	NONE	199733	0	0
QUANTA SVCS INC	COM	74762E102	15774	459200	SH	SOLE	NONE	459200	0	0
RANDGOLD RES LTD	ADR	752344309	11004	132200	SH	SOLE	NONE	132200	0	0
RANGE RES CORP	COM	75281A109	1858	127800	SH	SOLE	NONE	127800	0	0
RESTAURANT BRANDS INTL INC	COM	76131D103	13	224	SH	SOLE	NONE	224	0	0
ROYAL DUTCH SHELL PLC	SPONS ADR A	780259206	51482	806799	SH	SOLE	NONE	806799	0	0
RSP PERMIAN INC	COM	74978Q105	23693	505400	SH	SOLE	NONE	505400	0	0
SP GLOBAL INC	COM	78409V104	69945	366089	SH	SOLE	NONE	366089	0	0
SALESFORCE COM INC	COM	79466L302	13968	120100	SH	SOLE	NONE	120100	0	0
SCHLUMBERGER LTD	COM	806857108	3870	59740	SH	SOLE	NONE	59740	0	0
SEALED AIR CORP NEW	COM	81211K100	21217	495850	SH	SOLE	NONE	495850	0	0
SEMPRA ENERGY	COM	816851109	99495	894575	SH	SOLE	NONE	894575	0	0
SEMPRA ENERGY	6% PFD CONV A	816851406	19950	194880	SH	SOLE	NONE	194880	0	0
SHOPIFY INC	CL A	82509L107	16147	129600	SH	SOLE	NONE	129600	0	0
SIX FLAGS ENTMT CORP NEW	COM	83001A102	111450	1790075	SH	SOLE	NONE	1790075	0	0
SLM CORP	COM	78442P106	59127	5274500	SH	SOLE	NONE	5274500	0	0
SPDR GOLD TRUST	GOLD SHS	78463V107	258162	2052329	SH	SOLE	NONE	2052329	0	0
SPDR INDEX SHS FDS	DJ GLB RL ES ETF	78463X749	4589	99180	SH	SOLE	NONE	99180	0	0
SPDR SP 500 ETF TR	TR UNIT	78462F103	20184	76700	SH	SOLE	NONE	76700	0	0
SPDR SP 500 ETF TR	OPTIONS	78462F953	48860	140874	SH	Put	SOLE	NONE	140874	0	0
SPDR SERIES TRUST	BRCLY EM LOCL	78464A391	5426	178614	SH	SOLE	NONE	178614	0	0
SPDR SERIES TRUST	SP BIOTECH	78464A870	52366	596900	SH	SOLE	NONE	596900	0	0
SPLUNK INC	COM	848637104	16442	167112	SH	SOLE	NONE	167112	0	0
SUN CMNTYS INC	COM	866674104	676	7400	SH	SOLE	NONE	7400	0	0
SYNAPTICS INC	COM	87157D109	2054	44912	SH	SOLE	NONE	44912	0	0
SYNCHRONY FINL 	COM	87165B103	341402	10181994	SH	SOLE	NONE	10181994	0	0
TABLEAU SOFTWARE INC	CL A	87336U105	13284	164362	SH	SOLE	NONE	164362	0	0
TAIWAN SEMICONDUCTOR MFG LTD	SPONSORED ADR	874039100	100739	2302087	SH	SOLE	NONE	2302087	0	0
TAPESTRY INC	COM	876030107	73364	1394487	SH	SOLE	NONE	1394487	0	0
THERMO FISHER SCIENTIFIC INC	COM	883556102	129166	625620	SH	SOLE	NONE	625620	0	0
TRANSOCEAN LTD	REG SHS	H8817H100	304	30700	SH	SOLE	NONE	30700	0	0
TWENTY FIRST CENTY FOX INC	CL B	90130A200	16	427	SH	SOLE	NONE	427	0	0
UNION PAC CORP	COM	907818108	27065	201329	SH	SOLE	NONE	201329	0	0
UNITEDHEALTH GROUP INC	COM	91324P102	93634	437543	SH	SOLE	NONE	437543	0	0
US FOODS HLDG CORP	COM	912008109	25025	763655	SH	SOLE	NONE	763655	0	0
VAIL RESORTS INC	COM	91879Q109	81608	368100	SH	SOLE	NONE	368100	0	0
VANGUARD INDEX FDS	REIT ETF	922908553	6419	85050	SH	SOLE	NONE	85050	0	0
VORNADO RLTY TR	SH BEN INT	929042109	325	4830	SH	SOLE	NONE	4830	0	0
WABCO HLDGS INC	COM	92927K102	34292	256160	SH	SOLE	NONE	256160	0	0
WALGREENS BOOTS ALLIANCE INC	COM	931427108	29	437	SH	SOLE	NONE	437	0	0
WARRIOR MET COAL INC	COM	93627C101	1493	53300	SH	SOLE	NONE	53300	0	0
WEIBO CORP	SPONSORED ADR	948596101	16329	136600	SH	SOLE	NONE	136600	0	0
WELLS FARGO  CO NEW	COM	949746101	439682	8389278	SH	SOLE	NONE	8389278	0	0
WESTROCK CO	COM	96145D105	42006	654600	SH	SOLE	NONE	654600	0	0
WILLIAMS COS INC DEL	COM	969457100	179581	7223700	SH	SOLE	NONE	7223700	0	0
WILLIS TOWERS WATSON PUB LTD	SHS	G96629103	110798	728023	SH	SOLE	NONE	728023	0	0
WINGSTOP INC	COM	974155103	14835	314100	SH	SOLE	NONE	314100	0	0
YPF SOCIEDAD ANONIMA	SPON ADR CL D	984245100	9831	454700	SH	SOLE	NONE	454700	0	0
ZSCALER INC	COM	98980G102	2899	103290	SH	SOLE	NONE	103290	0	0
